Catergory,Model,Feature,Importance
Factor,DCT-num-test,RBS_A,100
Numeric,DCT-num-test,slope13_v,74.187
Factor,DCT-num-test,Origin_avian,45.4788
Factor,DCT-num-test,Origin_mammal,37.2957
Factor,DCT-num-test,PBS_A,11.1499
Factor,DCT-num-test,PBS_H,9.9254
Factor,DCT-num-test,RBS_D,2.5553
Factor,DCT-num-test,RBS_H,0
Factor,DCT-cat-test,RBS_A,100
Factor,DCT-cat-test,Origin_mammal,83.696
Factor,DCT-cat-test,Origin_avian,83.327
Factor,DCT-cat-test,PBS_A,58.022
Factor,DCT-cat-test,PBS_H,51.308
Factor,DCT-cat-test,RBS_H,40.513
Factor,DCT-cat-test,RBS_D,11.923
Factor,DCT-cat-test,slope13_vcat_pos,8.308
Factor,DCT-cat-test,slope13_vcat_neg,7.549
Factor,DCT-cat-test,slope13_vcat_zero,0
