Catergory,Model,Feature,Importance
Numeric,RDT-num-test,slope13_v,100
Factor,RDT-num-test,RBS_A,73.019
Factor,RDT-num-test,Origin_mammal,25.067
Factor,RDT-num-test,PBS_A,19.781
Factor,RDT-num-test,Origin_avian,18.46
Factor,RDT-num-test,PBS_H,17.798
Factor,RDT-num-test,RBS_H,4.36
Factor,RDT-num-test,RBS_D,4.119
Factor,RDT-cat-test,RBS_A,100
Factor,RDT-cat-test,Origin_mammal,71.547
Factor,RDT-cat-test,PBS_A,71.257
Factor,RDT-cat-test,Origin_avian,64.602
Factor,RDT-cat-test,PBS_H,49.276
Factor,RDT-cat-test,RBS_H,45.182
Factor,RDT-cat-test,slope13_vcat_neg,31.943
Factor,RDT-cat-test,slope13_vcat_pos,18.064
Factor,RDT-cat-test,RBS_D,16.031
Factor,RDT-cat-test,slope13_vcat_zero,4.552
